name,url
Prime Minister's Department (JPM),http://www.jpm.gov.my/
Ministry of Agriculture and Food Industries (MOA),http://www.moa.gov.my/
Ministry of Communication and Multimedia (KKMM),http://www.kkmm.gov.my/
Ministry of Defence (MINDEF),http://www.mod.gov.my/
Ministry of Domestic Trade and Consumer Affairs (KPDNHEP),https://www.kpdnhep.gov.my/
Ministry of Education (KPM),http://www.moe.gov.my/
Ministry of Energy and Natural Resources (KeTSA),http://www.ketsa.gov.my/ms-my/Pages/default.aspx
Ministry of Entrepreneurship and Co-operatives Development (MEDAC),http://med.gov.my/portal/index.php
Ministry of Environment and Water (KASA),https://www.kasa.gov.my/
Ministry of Federal Territories (KWP),http://www.kwp.gov.my/
Ministry of Finance (MOF),http://www.treasury.gov.my/
Ministry of Foreign Affairs (KLN/Wisma Putra),http://www.kln.gov.my/
Ministry of Health (KKM),http://www.moh.gov.my/
Ministry of Higher Education (KPT/MOHE),https://www.mohe.gov.my/
Ministry of Home Affairs (KDN),http://www.moha.gov.my/
Ministry of Housing and Local Government (KPKT),http://www.kpkt.gov.my/
Ministry of Human Resources (MOHR),https://web.archive.org/web/20100419184753/http://www.mohr.gov.my/
Ministry of International Trade and Industry (MITI),http://www.miti.gov.my/
Ministry of National Unity (PERPADUAN),https://www.perpaduan.gov.my/
Ministry of Plantation Industries and Commodities (KPPK/MPIC),https://mpi.gov.my/index.php/
Ministry of Rural Development (KPLB),http://www.rurallink.gov.my/
Ministry of Science Technology and Innovation (MOSTI),https://www.mestecc.gov.my/
Ministry of Tourism Art and Culture (MOTAC),http://www.motac.gov.my/
Ministry of Transport (MOT),http://www.mot.gov.my/
Ministry of Women Family and Community Development (KPWKM),http://www.kpwkm.gov.my/
Ministry of Works (KKR),http://www.kkr.gov.my/
Ministry of Youth and Sports (KBS),http://www.kbs.gov.my/
National Palace (Website),https://web.archive.org/web/20141218154643/http://istananegara.gov.my/
Prime Minister's Office (PMO) (Website),http://www.pmo.gov.my/
Chief Executive's Management Information System (SMPKE),
National Branding Unit,
Socioeconomic Development of Indian Community Unit (SEDIC),http://mib.my/en/
Special Implementation Task Force (SITF),
Special Secretariat for the Empowerment of Indian Entrepreneurs (SEED),
Chief Secretary's Office (Website),https://www.ksn.gov.my/
General Administration,http://www.jpm.gov.my
Advisory Board,http://www.lp.gov.my
Attorney General’s Chamber (AGC) (Website),http://www.agc.gov.my/
Cabinet Constitution and Intergovernmental Affairs Division (BKPP),http://www.kabinet.gov.my
Department of Statistics (DOSM),http://www.dosm.gov.my
Department of Waqf Zakat and Hajj (JAWHAR),http://www.jawhar.gov.my
Division of Ceremonies and International Conferences Secretariat (BIUPA),http://www.istiadat.gov.my
Development of Hawkers Petty Traders and Hindu Endowment Unit (UPPPKWH),null
Economic Planning Unit (EPU),https://web.archive.org/web/20160917102904/http://www.epu.gov.my/
Education Service Commission (SPP)[2],https://www.spp.gov.my
Election Commission (SPR) (Website)[2],/wiki/Election_Commission_of_Malaysia
Enforcement Agency Integrity Commission (EAIC)[2],https://www.eaic.gov.my
FELDA Outreach Unit (Seranta),http://www.serantajpm.gov.my
FELDA Regulatory Unit (UKSF),http://uksf.jpm.gov.my
Human Rights Commission of Malaysia (SUHAKAM)[2] (Website),/wiki/Human_Rights_Commission_of_Malaysia
Implementation Coordination Unit (ICU),https://web.archive.org/web/19991003064254/http://www.icu.gov.my/
Judicial Appointments Commission (JAC)[2],https://www.jac.gov.my
Legal Affairs Division (BHEUU),http://www.bheuu.gov.my/
Legal Aid Department (JBG),http://www.jbg.gov.my/
Malaysian Department of Insolvencies (MdI),http://www.bheuu.gov.my
Legal and Judicial Training Institute (ILKAP),http://www.ilkap.gov.my
Malaysian Anti-Corruption Commission (SPRM)[2] (Website),/wiki/Malaysian_Anti-Corruption_Commission
Malaysian Islamic Development Department (JAKIM)[3],http://www.islam.gov.my/
Federal Territories' Islamic Affairs Department (JAWI),http://www.jawi.gov.my/
